YAL069W	S000002143		335	649	1	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae
YAL068W-A	S000028594		538	792	1	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae
YAL068C	S000002142	PAU8	2169	1807	1	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	Saccharomyces cerevisiae
YAL067W-A	S000028593		2480	2707	1	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae
YAL067C	S000000062	SEO1	9016	7235	1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	Saccharomyces cerevisiae
YAL066W	S000000061		10091	10399	1	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae
YAL065C	S000001817		11951	11565	1	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins	Saccharomyces cerevisiae
YAL064W-B	S000002141		12046	12426	1	Fungal-specific protein of unknown function	Saccharomyces cerevisiae
YAL064C-A	S000002140	TDA8	13743	13363	1	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene	Saccharomyces cerevisiae
YAL064W	S000000060		21566	21850	1	Protein of unknown function; may interact with ribosomes, based on co-purification experiments	Saccharomyces cerevisiae
YAL063C-A	S000028813		22685	22395	1	Putative protein of unknown function; identified by expression profiling and mass spectrometry	Saccharomyces cerevisiae
YAL063C	S000000059	FLO9	27968	24000	1	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	Saccharomyces cerevisiae
YAL062W	S000000058	GDH3	31567	32940	1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	Saccharomyces cerevisiae
YAL061W	S000000057	BDH2	33448	34701	1	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	Saccharomyces cerevisiae
YAL060W	S000000056	BDH1	35155	36303	1	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	Saccharomyces cerevisiae
